
Thread-2::FeetToMetersFilter Reading 
Thread-0::Source reading file...

Thread-1::FahrenheitToCelsiusFilter Reading 
Thread-3::Sink Reading 
Time:                           Temperature (C):        Altitude (m): 
---------------------------------------------------------------------------------
2014:14:13:01:294                            0.0                  0.0 

2014:14:13:01:313                       -7.02845          25186.63947 

2014:14:13:01:313                       -7.02845          25186.63947 

2014:14:13:01:313                       -5.76149          25186.63947 

2014:14:13:01:313                       -5.76149          25186.63947 

2014:14:13:01:563                       -5.76149          25186.63947 

2014:14:13:01:563                       -5.76149          25186.63947 

2014:14:13:01:563                       -5.76149          25772.97785 

2014:14:13:01:563                       -5.76149          25772.97785 

2014:14:13:01:563                       -5.17614          25772.97785 

2014:14:13:01:563                       -5.17614          25772.97785 

2014:14:13:01:813                       -5.17614          25772.97785 

2014:14:13:01:813                       -5.17614          25772.97785 

2014:14:13:01:813                       -5.17614          25854.30412 

2014:14:13:01:813                       -5.17614          25854.30412 

