
Thread-2::FeetToMetersFilter Reading 
Thread-0::Source reading file...

Thread-1::FahrenheitToCelsiusFilter Reading 
Thread-3::Sink Reading 
Time:                           Temperature (C):        Altitude (m): 
---------------------------------------------------------------------------------
2014:14:13:01:294                            0.0                  0.0 

2014:14:13:01:49                       -87.65629           7387.70669 

2014:14:13:01:49                       -87.51116           7387.70669 

2014:14:13:01:49                       -87.51116           7387.70669 

2014:14:13:01:299                      -87.51116           7387.70669 

2014:14:13:01:299                      -87.51116           7387.70669 

2014:14:13:01:299                      -87.51116           7874.76238 

2014:14:13:01:299                      -87.51116           7874.76238 

2014:14:13:01:299                      -86.50632           7874.76238 

2014:14:13:01:299                      -86.50632           7874.76238 

2014:14:13:01:550                      -86.50632           7874.76238 

2014:14:13:01:550                      -86.50632           7874.76238 

2014:14:13:01:550                      -86.50632           8279.34251 

2014:14:13:01:550                      -86.50632           8279.34251 

2014:14:13:01:550                      -86.42935           8279.34251 

2014:14:13:01:550                      -86.42935           8279.34251 

2014:14:13:01:800                      -86.42935           8279.34251 

2014:14:13:01:800                      -86.42935           8279.34251 

2014:14:13:01:800                      -86.42935           8308.76395 

2014:14:13:01:800                      -86.42935           8308.76395 

2014:14:13:01:800                      -85.41023           8308.76395 

2014:14:13:01:800                      -85.41023           8308.76395 

2014:14:13:01:51                       -85.41023           8308.76395 

2014:14:13:01:51                       -85.41023           8308.76395 

2014:14:13:01:51                       -85.41023           8995.62857 

2014:14:13:01:51                       -85.41023           8995.62857 

2014:14:13:01:51                       -85.17425           8995.62857 

2014:14:13:01:51                       -85.17425           8995.62857 

2014:14:13:01:301                      -85.17425           8995.62857 

2014:14:13:01:301                      -85.17425           8995.62857 

2014:14:13:01:301                      -85.17425           9195.42179 

2014:14:13:01:301                      -85.17425           9195.42179 

2014:14:13:01:301                      -85.12897           9195.42179 

2014:14:13:01:301                      -85.12897           9195.42179 

2014:14:13:01:551                      -85.12897           9195.42179 

2014:14:13:01:551                      -85.12897           9195.42179 

2014:14:13:01:551                      -85.12897           9278.88864 

2014:14:13:01:551                      -85.12897           9278.88864 

2014:14:13:01:551                      -84.48895           9278.88864 

2014:14:13:01:551                      -84.48895           9278.88864 

2014:14:13:01:801                      -84.48895           9278.88864 

2014:14:13:01:801                      -84.48895           9278.88864 

2014:14:13:01:801                      -84.48895           9835.87828 

2014:14:13:01:801                      -84.48895           9835.87828 

2014:14:13:01:801                      -82.43373           9835.87828 

2014:14:13:01:801                      -82.43373           9835.87828 

2014:14:13:01:52                       -82.43373           9835.87828 

2014:14:13:01:52                       -82.43373           9835.87828 

2014:14:13:01:52                       -82.43373           9996.33133 

